name,link,price,review_count,review_percentage,game_tags,Review_Category
Synergy,https://store.steampowered.com/app/1989070/Synergy/?snr=1_7_7_230_150_25,12.49,119,82,"['Early Access', 'City Builder', 'Relaxing', 'Economy', 'Building', 'Fantasy', 'Trading', 'Isometric', 'Colorful', 'Base Building', 'Strategy', 'Singleplayer', 'Management', 'Simulation', 'Colony Sim', 'Resource Management', 'Diplomacy', 'Nature', 'Sandbox', 'Stylized']",0-250
Lycans,https://store.steampowered.com/app/2596100/Lycans/?snr=1_7_7_230_150_28,2.49,89,94,"['Action', 'Strategy', 'First-Person', '3D', 'Assassin', 'Atmospheric', 'Loot', 'Hunting', 'Investigation', 'Fantasy', 'Horror', 'Survival Horror', 'Werewolves', 'Dark', 'Survival', 'Tactical', 'PvP', 'Conversation', 'Stealth', 'Online Co-Op']",0-250
Taora : Survival,https://store.steampowered.com/app/2165470/Taora__Survival/?snr=1_7_7_230_150_30,7.79,150,74,"['Early Access', 'Exploration', 'Shooter', 'Crafting', 'Post-apocalyptic', 'Looter Shooter', 'Survival', 'RPG', 'Online Co-Op', 'Action RPG', 'Open World Survival Craft', 'Third-Person Shooter', 'Building', 'Driving', 'Base Building', 'Hunting', 'Trading', 'Third Person', 'Open World', 'Co-op']",0-250
METAL GEAR & METAL GEAR 2: Solid Snake,https://store.steampowered.com/app/2131680/METAL_GEAR__METAL_GEAR_2_Solid_Snake/?snr=1_7_7_230_150_31,10.49,227,100,"['Action', 'Adventure', 'Action-Adventure', 'Exploration', '2D Platformer', 'Top-Down Shooter', '2D', 'Pixel Graphics', 'Stealth', 'Cinematic', 'Top-Down', ""1990's"", 'Drama', 'Military', 'War', 'Tactical', 'Tanks', 'Story Rich', 'Singleplayer', 'Violent']",0-250
Farm Manager World,https://store.steampowered.com/app/2206350/Farm_Manager_World/?snr=1_7_7_230_150_31,10.49,174,75,"['Early Access', 'Management', 'Resource Management', 'Time Management', 'Singleplayer', 'Strategy', 'Agriculture', 'City Builder', 'Tutorial', 'Farming Sim', 'Building', 'Simulation', 'Top-Down', 'Relaxing', 'Colorful', 'Economy', '3D', 'Base Building', 'Casual', 'Realistic']",0-250
Old Market Simulator,https://store.steampowered.com/app/2878420/Old_Market_Simulator/?snr=1_7_7_230_150_31,5.79,35,100,"['Early Access', 'Simulation', 'Life Sim', 'Immersive Sim', 'Management', 'Online Co-Op', 'Resource Management', 'Exploration', '3D', 'First-Person', 'Stylized', 'Agriculture', 'Atmospheric', 'Economy', 'Medieval', 'Inventory Management', 'Physics', 'Trading', 'Co-op', 'Multiplayer']",0-250
Capes,https://store.steampowered.com/app/2081080/Capes/?snr=1_7_7_230_150_32,19.99,122,58,"['Turn-Based Tactics', 'Turn-Based Strategy', 'Strategy', 'Superhero', 'Singleplayer', 'Sci-fi', 'Tactical', 'Turn-Based Combat', 'Comic Book', 'Dystopian', 'Dark', 'Grid-Based Movement', 'Story Rich', 'Class-Based', 'Destruction', 'Team-Based', 'Stealth', 'Strategy RPG', 'Tactical RPG', 'Isometric']",0-250
MotoGP™24,https://store.steampowered.com/app/2581700/MotoGP24/?snr=1_7_7_230_150_34,49.99,193,82,"['Racing', 'Sports', 'eSports', 'Split Screen', 'Motorbike', 'PvP', 'Physics', 'PvE', 'Local Multiplayer', 'Multiplayer', 'Singleplayer']",0-250
Crown Wars: The Black Prince,https://store.steampowered.com/app/1658920/Crown_Wars_The_Black_Prince/?snr=1_7_7_230_150_36,19.99,164,57,"['RPG', 'Strategy', 'Turn-Based Strategy', 'Turn-Based', 'Singleplayer', 'Turn-Based Combat', 'Adventure', 'Character Customization', 'Turn-Based Tactics', 'Tactical', 'Fantasy', 'Medieval', 'Violent', 'Tactical RPG', 'Dark Fantasy', 'Historical', '3D', 'Story Rich', 'Female Protagonist', 'Difficult']",0-250
Stellar Settlers: Space Base Builder,https://store.steampowered.com/app/2628570/Stellar_Settlers_Space_Base_Builder/?snr=1_7_7_230_150_39,3.7,233,80,"['City Builder', 'Colony Sim', 'Base Building', 'Resource Management', 'Strategy', 'Simulation', 'Building', 'Survival', 'Mars', 'Space', 'Spaceships', 'Space Sim', 'Automation', 'Management', 'Sandbox', 'Replay Value', 'Economy', 'Casual', 'Physics', 'Early Access']",0-250
Serum,https://store.steampowered.com/app/1610520/Serum/?snr=1_7_7_230_150_40,14.99,105,59,"['Early Access', 'Atmospheric', 'Survival', 'Simulation', 'First-Person', 'Action', 'Post-apocalyptic', 'Crafting', 'Action-Adventure', 'Exploration', 'Walking Simulator', 'Dark', 'Lore-Rich', '3D', 'Sci-fi', 'Mystery', 'Story Rich', 'Base Building', 'Open World', 'Character Customization']",0-250
Casino Boss Simulator,https://store.steampowered.com/app/2711070/Casino_Boss_Simulator/?snr=1_7_7_230_150_41,2.99,40,77,"['Simulation', 'Action', 'Casual', 'Gambling', 'Management', 'Life Sim', 'FPS', 'Immersive Sim', 'Third-Person Shooter', '3D', 'First-Person', 'Early Access', 'Indie', 'Colorful', 'Third Person', 'Character Customization', 'Story Rich', 'Singleplayer']",0-250
Serum,https://store.steampowered.com/app/1610520/Serum/?snr=1_7_7_230_150_41,14.99,105,59,"['Early Access', 'Atmospheric', 'Survival', 'Simulation', 'First-Person', 'Action', 'Post-apocalyptic', 'Crafting', 'Action-Adventure', 'Exploration', 'Walking Simulator', 'Dark', 'Lore-Rich', '3D', 'Sci-fi', 'Mystery', 'Story Rich', 'Base Building', 'Open World', 'Character Customization']",0-250
Tennis Manager 2024,https://store.steampowered.com/app/2870110/Tennis_Manager_2024/?snr=1_7_7_230_150_42,21.99,39,89,"['Sports', 'Strategy', 'Simulation', 'Management', 'Tennis', 'eSports', 'Time Management', 'Resource Management', 'Immersive Sim', 'Life Sim', '3D', 'Indie', 'Realistic', 'Text-Based', 'Artificial Intelligence', 'Singleplayer', 'Action', 'Strategy RPG', 'Exploration', 'Baseball']",0-250
Casino Boss Simulator,https://store.steampowered.com/app/2711070/Casino_Boss_Simulator/?snr=1_7_7_230_150_43,2.99,40,77,"['Simulation', 'Action', 'Casual', 'Gambling', 'Management', 'Life Sim', 'FPS', 'Immersive Sim', 'Third-Person Shooter', '3D', 'First-Person', 'Early Access', 'Indie', 'Colorful', 'Third Person', 'Character Customization', 'Story Rich', 'Singleplayer']",0-250
Tiny Terry's Turbo Trip,https://store.steampowered.com/app/2238040/Tiny_Terrys_Turbo_Trip/?snr=1_7_7_230_150_43,9.29,140,97,"['Exploration', 'Adventure', 'Relaxing', 'Cute', 'Indie', 'Collectathon', 'Funny', 'Wholesome', 'Open World', 'Casual', 'Singleplayer', 'Family Friendly', 'Soundtrack', 'Colorful', 'Walking Simulator', 'RPG', '3D', 'Cartoony', 'Character Customization', 'Flight']",0-250
Prison Life 2,https://store.steampowered.com/app/2125160/Prison_Life_2/?snr=1_7_7_230_150_43,2.99,136,86,"['First-Person', 'Detective', 'Social Deduction', 'Multiplayer', 'Strategy', 'PvP', 'Simulation', 'Tactical RPG', 'Co-op', 'Strategy RPG', 'Casual', 'RPG', 'Choose Your Own Adventure', 'Quick-Time Events', '3D', 'Cartoony', 'Online Co-Op', 'Stylized', 'Cute', 'Abstract']",0-250
Prison Life 2,https://store.steampowered.com/app/2125160/Prison_Life_2/?snr=1_7_7_230_150_44,2.99,136,86,"['First-Person', 'Detective', 'Social Deduction', 'Multiplayer', 'Strategy', 'PvP', 'Simulation', 'Tactical RPG', 'Co-op', 'Strategy RPG', 'Casual', 'RPG', 'Choose Your Own Adventure', 'Quick-Time Events', '3D', 'Cartoony', 'Online Co-Op', 'Stylized', 'Cute', 'Abstract']",0-250
Turkish Throne,https://store.steampowered.com/app/2839450/Turkish_Throne/?snr=1_7_7_230_150_44,1.5,163,93,"['Simulation', 'Strategy', 'Sandbox', 'Political Sim', '2D', 'Early Access', 'Alternate History', 'Capitalism', 'Political', 'Politics', 'Tactical', 'Management', 'Multiple Endings', 'Resource Management', 'Nonlinear', 'Singleplayer']",0-250
Underspace,https://store.steampowered.com/app/1111930/Underspace/?snr=1_7_7_230_150_47,10.49,193,83,"['Early Access', '3D', 'Flight', 'Futuristic', 'Action', 'Adventure', 'Space', 'Indie', 'Third Person', 'RPG', 'Space Sim', 'Arcade', 'Open World', 'Sandbox', 'Exploration', 'Lovecraftian', 'Fantasy', 'Sci-fi', 'PvP', '6DOF']",0-250
Backrooms Rec.,https://store.steampowered.com/app/2275020/Backrooms_Rec/?snr=1_7_7_230_150_49,5.79,247,60,"['Multiplayer', 'Online Co-Op', 'Choose Your Own Adventure', 'Survival Horror', 'FPS', 'Horror', 'Local Multiplayer', 'First-Person', 'Action-Adventure', 'Psychological Horror', '3D', 'Team-Based', 'Atmospheric', 'Nonlinear', 'Realistic', 'Co-op', 'Action', 'Adventure', 'Singleplayer', 'Early Access']",0-250
Sheryl ~The Alchemist of the Island Ruins~,https://store.steampowered.com/app/2787300/Sheryl_The_Alchemist_of_the_Island_Ruins/?snr=1_7_7_230_150_50,1.9,139,90,"['RPG', 'JRPG', 'Sexual Content', 'Anime', 'Cute', '2D', 'Singleplayer', 'Nudity', 'Hentai', 'Mature', 'RPGMaker', 'Female Protagonist', 'Funny', 'NSFW']",0-250
April 24th,https://store.steampowered.com/app/2907190/April_24th/?snr=1_7_7_230_150_51,2.49,155,89,"['Simulation', 'Thriller', 'Psychological Horror', 'Walking Simulator', 'Cinematic', '3D Platformer', 'Exploration', '3D', 'First-Person', 'Realistic', 'Psychedelic', ""1990's"", 'Atmospheric', 'Mystery', 'Horror', 'Linear', 'Singleplayer', 'Violent', 'Indie', 'Adventure']",0-250
Valiant Hearts: Coming Home,https://store.steampowered.com/app/2741360/Valiant_Hearts_Coming_Home/?snr=1_7_7_230_150_51,11.99,61,72,"['Adventure', 'Platformer', 'Puzzle', '2D Platformer', 'Puzzle Platformer', '2D', 'Singleplayer', 'Emotional', 'World War I', 'Historical', 'War', 'Story Rich', 'Atmospheric', 'Drama', 'Great Soundtrack', 'Dog', 'Side Scroller', 'Action', 'Education', 'Indie']",0-250
Seablip,https://store.steampowered.com/app/1471270/Seablip/?snr=1_7_7_230_150_51,7.99,195,82,"['Early Access', 'Pirates', 'Pixel Graphics', 'Open World', 'Strategy RPG', 'Action-Adventure', 'Adventure', 'RPG', 'Singleplayer', 'Exploration', 'Character Customization', 'Naval Combat', 'Casual', 'Colorful', 'Indie', 'Combat', 'Cute', '2D', 'Fishing', 'Strategy']",0-250
Creepy Tale: Some Other Place,https://store.steampowered.com/app/2476100/Creepy_Tale_Some_Other_Place/?snr=1_7_7_230_150_52,5.79,73,94,"['Adventure', 'Action', 'Point & Click', 'Puzzle', 'Action-Adventure', 'Side Scroller', 'Puzzle Platformer', '2D', 'Cartoony', 'Hand-drawn', 'Atmospheric', 'Dark', 'Lore-Rich', 'Psychological Horror', 'Mystery', 'Indie', 'Singleplayer', 'Escape Room', 'Fantasy', 'Strategy']",0-250
April 24th,https://store.steampowered.com/app/2907190/April_24th/?snr=1_7_7_230_150_52,2.49,155,89,"['Simulation', 'Thriller', 'Psychological Horror', 'Walking Simulator', 'Cinematic', '3D Platformer', 'Exploration', '3D', 'First-Person', 'Realistic', 'Psychedelic', ""1990's"", 'Atmospheric', 'Mystery', 'Horror', 'Linear', 'Singleplayer', 'Violent', 'Indie', 'Adventure']",0-250
Sheryl ~The Alchemist of the Island Ruins~,https://store.steampowered.com/app/2787300/Sheryl_The_Alchemist_of_the_Island_Ruins/?snr=1_7_7_230_150_52,1.9,139,90,"['RPG', 'JRPG', 'Sexual Content', 'Anime', 'Cute', '2D', 'Singleplayer', 'Nudity', 'Hentai', 'Mature', 'RPGMaker', 'Female Protagonist', 'Funny', 'NSFW']",0-250
Vendir: Plague of Lies,https://store.steampowered.com/app/1478850/Vendir_Plague_of_Lies/?snr=1_7_7_230_150_52,7.99,27,70,"['CRPG', 'Turn-Based Combat', 'Dark Fantasy', 'Story Rich', 'Tactical RPG', 'RPG', 'Exploration', 'Strategy', 'Atmospheric', 'Party-Based RPG', 'Fantasy', 'Minimalist', 'Character Customization', 'Strategy RPG', 'Choices Matter', 'Isometric', 'Conversation', 'Singleplayer', 'Dark Humor', 'Dark']",0-250
RUSH: Only Up Multiplayer,https://store.steampowered.com/app/2497520/RUSH_Only_Up_Multiplayer/?snr=1_7_7_230_150_53,1.99,14,85,"['Massively Multiplayer', '3D Platformer', 'Parkour', 'Difficult', 'Physics', 'Precision Platformer', 'Platformer', 'Replay Value', 'Third Person', 'PvP', 'Choices Matter', 'Adventure', 'Nonlinear', 'Atmospheric', 'Multiplayer', 'Simulation', 'Singleplayer', 'Cinematic', 'Surreal', 'Open World']",0-250
ServiceIT: You can do IT,https://store.steampowered.com/app/2194730/ServiceIT_You_can_do_IT/?snr=1_7_7_230_150_55,7.29,165,52,"['Early Access', 'Immersive Sim', 'Education', 'Electronic', 'Simulation', 'Puzzle', 'Sandbox', 'Management', 'Science', 'Physics', 'Life Sim', '3D', 'First-Person', 'Funny', 'Relaxing', 'Indie', 'Singleplayer', 'Controller', 'Casual', 'Realistic']",0-250
SAMURAI WARRIORS 4 DX,https://store.steampowered.com/app/2719200/SAMURAI_WARRIORS_4_DX/?snr=1_7_7_230_150_56,41.69,139,84,"['Action', 'Musou', 'Hack and Slash', 'Historical', 'Spectacle fighter', '3D', 'Third Person', 'War', '3D Platformer', 'Controller', 'Singleplayer', 'Online Co-Op', 'Multiplayer', 'Local Multiplayer', 'Local Co-Op', 'Co-op']",0-250
Hauntii,https://store.steampowered.com/app/2060790/Hauntii/?snr=1_7_7_230_150_56,10.49,84,90,"['Action-Adventure', 'Exploration', 'Adventure', 'Emotional', 'Soundtrack', 'Cute', 'Third Person', 'Atmospheric', 'Controller', 'Cinematic', 'Action', 'Stylized', 'Isometric', 'Surreal', 'Linear', 'Story Rich', 'Hand-drawn', 'Singleplayer', 'Puzzle', '3D Platformer']",0-250
Y. Village - The Visitors,https://store.steampowered.com/app/2649190/Y_Village__The_Visitors/?snr=1_7_7_230_150_56,2.34,77,63,"['Action-Adventure', '3D', 'First-Person', 'Horror', 'Action', 'Psychological Horror', 'Story Rich', 'Adventure', 'Realistic', 'Thriller', 'Atmospheric', 'Cinematic', 'Supernatural', 'Survival Horror', 'Faith', 'Dark', 'Singleplayer', 'Indie']",0-250
Spells & Secrets,https://store.steampowered.com/app/1518220/Spells__Secrets/?snr=1_7_7_230_150_57,12.49,143,84,"['Cozy', 'Simulation', 'Action', 'Singleplayer', 'Controller', 'Casual', 'Fantasy', 'Roguelite', 'Character Customization', 'Colorful', 'Dungeon Crawler', 'Action-Adventure', 'Local Co-Op', 'Magic', 'Replay Value', '3D', 'Indie', 'Isometric', 'Roguelike', 'LGBTQ+']",0-250
Eyes: The Horror Game,https://store.steampowered.com/app/2633640/Eyes_The_Horror_Game/?snr=1_7_7_230_150_57,2.99,98,95,"['Adventure', 'Horror', 'Survival Horror', 'Exploration', 'Dark', 'Puzzle', 'Simulation', 'Demons', 'Interactive Fiction', '3D', 'First-Person', 'Narration', 'Quick-Time Events', 'Stealth', 'Singleplayer']",0-250
Go Mecha Ball,https://store.steampowered.com/app/2008510/Go_Mecha_Ball/?snr=1_7_7_230_150_57,10.49,237,92,"[""Shoot 'Em Up"", 'Twin Stick Shooter', 'Arcade', 'Roguelike', 'Bullet Hell', 'Arena Shooter', 'Action', 'Roguelite', 'Action Roguelike', 'Shooter', 'Singleplayer', 'Pinball', 'Colorful', 'Top-Down', 'Cyberpunk', 'Futuristic', 'Robots', 'Pixel Graphics', 'Aliens', 'Mechs']",0-250
Stellar Initiative,https://store.steampowered.com/app/2529080/Stellar_Initiative/?snr=1_7_7_230_150_57,5.79,92,67,"['Tower Defense', 'Roguelike', 'Strategy', 'Difficult', 'Sci-fi', 'Pixel Graphics', '2D', 'Base Building', 'Mechs', 'Procedural Generation', 'Aliens', 'Space', 'Singleplayer', 'Building']",0-250
Stellar Initiative,https://store.steampowered.com/app/2529080/Stellar_Initiative/?snr=1_7_7_230_150_58,5.79,92,67,"['Tower Defense', 'Roguelike', 'Strategy', 'Difficult', 'Sci-fi', 'Pixel Graphics', '2D', 'Base Building', 'Mechs', 'Procedural Generation', 'Aliens', 'Space', 'Singleplayer', 'Building']",0-250
Headquarters: World War II,https://store.steampowered.com/app/1840800/Headquarters_World_War_II/?snr=1_7_7_230_150_59,20.98,232,80,"['PvP', 'Turn-Based Tactics', 'Tactical RPG', 'Wargame', 'Turn-Based Strategy', 'War', 'Strategy RPG', 'Board Game', 'Tabletop', 'Tanks', 'Strategy', 'Multiplayer', '3D', 'Historical', 'Simulation', 'Turn-Based Combat', 'World War II', 'Military', 'Vehicular Combat', 'Sniper']",0-250
International Basketball Manager 23,https://store.steampowered.com/app/2098130/International_Basketball_Manager_23/?snr=1_7_7_230_150_59,12.49,151,84,"['Simulation', 'Strategy', 'Sports', 'Basketball', 'Time Management', 'Immersive Sim', '3D', 'Realistic', 'Economy', 'Management', 'Real Time Tactics', 'Artificial Intelligence', 'Family Friendly', 'Tactical', 'Colorful', 'Team-Based', 'Level Editor', 'Resource Management', 'Choices Matter', 'Turn-Based Tactics']",0-250
RKGK / Rakugaki,https://store.steampowered.com/app/2146570/RKGK__Rakugaki/?snr=1_7_7_230_150_59,9.99,87,78,"['Action', 'Adventure', 'Indie', 'Singleplayer', 'Atmospheric', 'Third Person', 'Anime', 'Platformer', 'Female Protagonist', 'Parkour', 'Fast-Paced', 'Robots', 'Futuristic', 'Controller', 'Colorful', 'Dystopian', '3D Platformer', 'Stylized', '3D', 'Music']",0-250
Late Night Drift,https://store.steampowered.com/app/2681530/Late_Night_Drift/?snr=1_7_7_230_150_61,0.89,65,90,"['Casual', 'Simulation', 'Racing', 'Automobile Sim', '3D', 'Third Person', 'Driving', 'Co-op', 'Indie', 'Singleplayer', 'Online Co-Op', 'Multiplayer']",0-250
Little-Known Galaxy,https://store.steampowered.com/app/2521600/LittleKnown_Galaxy/?snr=1_7_7_230_150_62,10.49,217,96,"['RPG', 'Casual', 'Cozy', 'Sci-fi', 'Farming Sim', 'Space Sim', 'Pixel Graphics', 'Exploration', 'Crafting', 'Adventure', 'Open World', 'Life Sim', 'Simulation', 'Cute', '2D', 'Story Rich', 'Space', 'Dating Sim', 'Relaxing', 'Singleplayer']",0-250
Final Factory,https://store.steampowered.com/app/1383150/Final_Factory/?snr=1_7_7_230_150_62,12.49,102,91,"['Early Access', 'Automation', 'Base Building', 'Resource Management', 'Crafting', 'Simulation', 'Sandbox', 'Sci-fi', 'Strategy', 'Exploration', 'Building', 'Space', 'Moddable', 'Inventory Management', 'Immersive Sim', 'Procedural Generation', 'Top-Down', 'Casual', '3D', 'RTS']",0-250
Rack and Slay,https://store.steampowered.com/app/2311990/Rack_and_Slay/?snr=1_7_7_230_150_63,3.59,109,92,"['Roguelike', 'Pool', 'Dungeon Crawler', 'Roguelite', 'Strategy', '2D', 'Replay Value', 'Tactical', 'Turn-Based Strategy', 'Turn-Based Tactics', 'Procedural Generation', 'Top-Down', 'Perma Death', 'Loot', 'Action Roguelike', 'Roguelike Deckbuilder', 'Indie', 'Deckbuilding', 'RPG', 'Singleplayer']",0-250
Ereban: Shadow Legacy,https://store.steampowered.com/app/1671360/Ereban_Shadow_Legacy/?snr=1_7_7_230_150_63,12.49,115,100,"['Stealth', '3D Platformer', 'Female Protagonist', 'Assassin', 'Sci-fi', 'Supernatural', 'Exploration', 'Dark', 'Story Rich', 'Adventure', 'Multiple Endings', 'Indie', '3D', 'Dystopian', 'Action-Adventure', 'Robots', 'Choices Matter', 'Stylized', 'Third Person', 'Singleplayer']",0-250
Ereban: Shadow Legacy,https://store.steampowered.com/app/1671360/Ereban_Shadow_Legacy/?snr=1_7_7_230_150_64,12.49,115,100,"['Stealth', '3D Platformer', 'Female Protagonist', 'Assassin', 'Sci-fi', 'Supernatural', 'Exploration', 'Dark', 'Story Rich', 'Adventure', 'Multiple Endings', 'Indie', '3D', 'Dystopian', 'Action-Adventure', 'Robots', 'Choices Matter', 'Stylized', 'Third Person', 'Singleplayer']",0-250
GUARDS!,https://store.steampowered.com/app/2514460/GUARDS/?snr=1_7_7_230_150_64,7.99,237,76,"['Online Co-Op', 'Co-op', 'First-Person', 'Fantasy', 'PvE', 'Action', 'Dungeon Crawler', 'Hack and Slash', 'Medieval', 'Third Person', 'Difficult', 'Exploration', 'Procedural Generation', 'Combat', 'Time Management', 'Physics', 'Adventure', 'Atmospheric', 'Crime', 'Action-Adventure']",0-250
Retrowave World,https://store.steampowered.com/app/2413050/Retrowave_World/?snr=1_7_7_230_150_65,3.8,156,85,"['Early Access', 'Racing', 'Action', '1980s', 'Adventure', 'Arcade', 'Automobile Sim', 'Exploration', '3D', 'First-Person', 'Realistic', 'Third Person', ""1990's"", 'Cyberpunk', 'Massively Multiplayer', 'Retro', 'Driving', 'Open World', 'Relaxing', 'Old School']",0-250
E-Startup 2 : Business Tycoon,https://store.steampowered.com/app/2547750/EStartup_2__Business_Tycoon/?snr=1_7_7_230_150_66,7.29,35,82,"['Immersive Sim', 'Sandbox', 'Economy', 'Capitalism', 'Management', 'Trading', 'Life Sim', '3D', 'Casual', 'Simulation', 'Resource Management', 'Inventory Management', 'Singleplayer', 'Indie']",0-250
Canvas of Kings,https://store.steampowered.com/app/2498570/Canvas_of_Kings/?snr=1_7_7_230_150_66,6.0,205,100,"['Software', 'Level Editor', 'Dungeons & Dragons', 'Hand-drawn', 'Procedural Generation', 'Atmospheric', 'Fantasy', 'Top-Down', 'Indie', 'Early Access', 'RPG', '2D', 'Singleplayer']",0-250
Canvas of Kings,https://store.steampowered.com/app/2498570/Canvas_of_Kings/?snr=1_7_7_230_150_67,6.0,205,100,"['Software', 'Level Editor', 'Dungeons & Dragons', 'Hand-drawn', 'Procedural Generation', 'Atmospheric', 'Fantasy', 'Top-Down', 'Indie', 'Early Access', 'RPG', '2D', 'Singleplayer']",0-250
Baladins,https://store.steampowered.com/app/1866320/Baladins/?snr=1_7_7_230_150_67,12.49,52,80,"['Choose Your Own Adventure', 'Online Co-Op', 'Story Rich', 'RPG', 'Dragons', 'Co-op Campaign', 'Choices Matter', 'Multiplayer', 'Multiple Endings', 'Co-op', 'Funny', 'Lore-Rich', 'Magic', 'Medieval', 'Fantasy', 'Singleplayer', 'Interactive Fiction', 'Colorful', 'Tabletop', 'Adventure']",0-250
Second Wave,https://store.steampowered.com/app/2337510/Second_Wave/?snr=1_7_7_230_150_67,14.99,95,45,"['Early Access', 'Multiplayer', 'MOBA', 'Shooter', 'Anime', 'Action', 'Team-Based', '3D', 'Hero Shooter', 'Third Person', 'FPS', 'Third-Person Shooter', 'Arena Shooter', 'PvP', 'Cartoony', 'First-Person', 'Sci-fi', 'RPG', 'Lore-Rich', 'Cinematic']",0-250
Doll Impostor,https://store.steampowered.com/app/2882870/Doll_Impostor/?snr=1_7_7_230_150_67,3.59,218,96,"['Psychological Horror', 'Puzzle', 'Horror', 'Strategy', 'Walking Simulator', 'Action', 'Adventure', '3D', 'Cinematic', 'First-Person', 'Realistic', 'Indie', 'Singleplayer']",0-250
Taimanin Asagi,https://store.steampowered.com/app/2430160/Taimanin_Asagi/?snr=1_7_7_230_150_67,7.99,98,84,"['Sexual Content', 'Ninja', 'Visual Novel', 'Female Protagonist', 'Cute', 'Anime', 'Nudity', 'Adventure', 'Choices Matter', 'Atmospheric', 'Martial Arts', 'Choose Your Own Adventure', 'Romance', 'Clicker', '2D', 'Sci-fi', 'Singleplayer', 'Hentai', 'Dark', 'Text-Based']",0-250
